Make,Model,Year,Problem,Symptoms,Solution,Cost,Difficulty
Toyota,Corolla,2023,Engine Oil Leak,"Oil spots under the car, Burning smell",Replace gaskets,$486,Medium
Mercedes,C-Class,2016,Faulty Spark Plugs,"Poor acceleration, Engine vibration",Replace spark plugs,$180,Easy
Nissan,Patrol,2013,Cooling System Issues,"Engine overheating, Coolant leakage",Replace water pump,$564,Medium
Toyota,Corolla,2017,Dead Battery,Car won't start,Charge the battery,$119,Easy
Honda,Civic,2018,Suspension Issues,"Car vibration over bumps, Car swaying",Inspect suspension system,$905,Hard
Hyundai,Sonata,2020,Engine Oil Leak,Burning smell,Fix the leak,$403,Medium
Audi,A4,2019,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration, Engine vibration",Replace spark plugs,$197,Easy
Hyundai,Sonata,2010,Cooling System Issues,Coolant leakage,Replace water pump,$629,Medium
Honda,Civic,2010,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Replace tires,$224,Easy
Ford,F-150,2019,Dead Battery,"Car won't start, Dim lights",Replace the battery,$57,Easy
Ford,F-150,2008,Dead Battery,Car won't start,Charge the battery,$85,Easy
Ford,F-150,2015,Exhaust System Issues,Loud exhaust noise,Inspect exhaust system,$596,Hard
Nissan,Patrol,2017,Exhaust System Issues,Loud exhaust noise,Inspect exhaust system,$970,Hard
Ford,F-150,2012,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Replace water pump,$315,Medium
Mercedes,C-Class,2017,Suspension Issues,Car vibration over bumps,Replace shock absorbers,$813,Hard
BMW,X5,2016,Electrical System Issues,Failure to turn on lights,Inspect electrical wiring,$125,Medium
Mercedes,C-Class,2019,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps",Replace shock absorbers,$993,Hard
Toyota,Corolla,2021,Dead Battery,Car won't start,Charge the battery,$126,Easy
BMW,X5,2023,Exhaust System Issues,Loud exhaust noise,Inspect exhaust system,$907,Hard
Ford,F-150,2009,Exhaust System Issues,"Strong fuel smell, Black smoke emission, Loud exhaust noise",Replace catalytic converter,$913,Hard
Ford,F-150,2022,Cooling System Issues,"Coolant leakage, Engine overheating, Burning smell",Replace water pump,$551,Medium
Toyota,Corolla,2017,Dead Battery,Car won't start,Replace the battery,$160,Easy
Toyota,Corolla,2020,Electrical System Issues,"Warning light on dashboard, Weak battery charging",Inspect electrical wiring,$318,Medium
Ford,F-150,2017,Suspension Issues,"Car swaying, Car vibration over bumps",Replace shock absorbers,$586,Hard
Kia,Sportage,2014,Dead Battery,"Dim lights, Car won't start",Charge the battery,$95,Easy
BMW,X5,2019,Suspension Issues,"Car swaying, Squeaking noise from underneath, Car vibration over bumps",Inspect suspension system,$678,Hard
Nissan,Patrol,2003,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath",Replace shock absorbers,$604,Hard
Nissan,Patrol,2006,Brake Issues,"Squeaking when braking, Steering wheel vibration",Replace brake pads,$321,Medium
Chevrolet,Camaro,2012,Faulty Spark Plugs,"Poor acceleration, Engine vibration",Replace spark plugs,$169,Easy
Nissan,Patrol,2012,Electrical System Issues,Failure to turn on lights,Replace fuses,$111,Medium
Chevrolet,Camaro,2016,Brake Issues,"Steering wheel vibration, Increased stopping distance, Squeaking when braking",Inspect brake system,$197,Medium
Chevrolet,Camaro,2013,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps, Car swaying",Inspect suspension system,$461,Hard
Chevrolet,Camaro,2019,Electrical System Issues,"Warning light on dashboard, Weak battery charging",Replace fuses,$158,Medium
Audi,A4,2022,Faulty Spark Plugs,"Poor acceleration, Engine vibration",Replace spark plugs,$270,Easy
Audi,A4,2017,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$236,Easy
Ford,F-150,2010,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Replace fuses,$146,Medium
Ford,F-150,2012,Brake Issues,"Steering wheel vibration, Increased stopping distance, Squeaking when braking",Inspect brake system,$256,Medium
Audi,A4,2018,Engine Oil Leak,"Low oil level, Burning smell",Fix the leak,$344,Medium
Kia,Sportage,2022,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Replace catalytic converter,$859,Hard
Ford,F-150,2008,Tire Issues,Uneven tire wear,Replace tires,$166,Easy
BMW,X5,2012,Cooling System Issues,"Engine overheating, Burning smell",Replace water pump,$578,Medium
Chevrolet,Camaro,2020,Engine Oil Leak,Oil spots under the car,Replace gaskets,$202,Medium
Nissan,Patrol,2004,Suspension Issues,Car vibration over bumps,Inspect suspension system,$560,Hard
Audi,A4,2022,Dead Battery,Weak sound when starting,Charge the battery,$143,Easy
Mercedes,C-Class,2023,Tire Issues,"Car vibration, Uneven tire wear, Low tire pressure",Replace tires,$105,Easy
Toyota,Corolla,2018,Engine Oil Leak,"Low oil level, Burning smell",Replace gaskets,$591,Medium
Hyundai,Sonata,2022,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$476,Medium
Nissan,Patrol,2007,Tire Issues,Low tire pressure,Replace tires,$108,Easy
Honda,Civic,2020,Dead Battery,"Car won't start, Dim lights, Weak sound when starting",Charge the battery,$53,Easy
Toyota,Corolla,2018,Brake Issues,"Increased stopping distance, Squeaking when braking",Inspect brake system,$372,Medium
Audi,A4,2016,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell, Black smoke emission",Inspect exhaust system,$1081,Hard
Kia,Sportage,2020,Dead Battery,Weak sound when starting,Charge the battery,$152,Easy
Kia,Sportage,2023,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Replace water pump,$596,Medium
Audi,A4,2015,Tire Issues,Car vibration,Replace tires,$291,Easy
Toyota,Corolla,2023,Brake Issues,"Increased stopping distance, Squeaking when braking, Steering wheel vibration",Inspect brake system,$287,Medium
Kia,Sportage,2014,Dead Battery,"Car won't start, Dim lights",Charge the battery,$192,Easy
Toyota,Corolla,2021,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard",Replace fuses,$159,Medium
Audi,A4,2011,Dead Battery,Weak sound when starting,Charge the battery,$69,Easy
Honda,Civic,2022,Brake Issues,Squeaking when braking,Inspect brake system,$377,Medium
Mercedes,C-Class,2019,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell",Inspect exhaust system,$667,Hard
Mercedes,C-Class,2013,Exhaust System Issues,Strong fuel smell,Inspect exhaust system,$1022,Hard
Audi,A4,2014,Electrical System Issues,"Warning light on dashboard, Weak battery charging",Inspect electrical wiring,$250,Medium
Kia,Sportage,2010,Faulty Spark Plugs,"Poor acceleration, Engine vibration, Increased fuel consumption",Replace spark plugs,$209,Easy
Honda,Civic,2010,Electrical System Issues,"Warning light on dashboard, Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$340,Medium
Ford,F-150,2016,Electrical System Issues,"Warning light on dashboard, Weak battery charging",Inspect electrical wiring,$451,Medium
Ford,F-150,2005,Brake Issues,"Increased stopping distance, Squeaking when braking",Inspect brake system,$193,Medium
Ford,F-150,2022,Brake Issues,"Increased stopping distance, Steering wheel vibration",Replace brake pads,$293,Medium
Nissan,Patrol,2005,Brake Issues,"Increased stopping distance, Squeaking when braking",Replace brake pads,$301,Medium
Chevrolet,Camaro,2019,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$459,Hard
Hyundai,Sonata,2010,Cooling System Issues,"Coolant leakage, Engine overheating",Replace water pump,$786,Medium
Nissan,Patrol,2002,Tire Issues,"Low tire pressure, Uneven tire wear, Car vibration",Balance tires,$289,Easy
Audi,A4,2023,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise, Black smoke emission",Replace catalytic converter,$681,Hard
Nissan,Patrol,2005,Exhaust System Issues,Strong fuel smell,Replace catalytic converter,$886,Hard
Nissan,Patrol,2018,Cooling System Issues,Coolant leakage,Replace water pump,$597,Medium
Nissan,Patrol,2015,Dead Battery,"Car won't start, Dim lights, Weak sound when starting",Replace the battery,$182,Easy
Nissan,Patrol,2006,Brake Issues,"Increased stopping distance, Steering wheel vibration, Squeaking when braking",Inspect brake system,$300,Medium
Nissan,Patrol,2022,Cooling System Issues,"Engine overheating, Coolant leakage",Inspect cooling system,$623,Medium
Audi,A4,2018,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights",Replace fuses,$377,Medium
Audi,A4,2015,Cooling System Issues,Engine overheating,Inspect cooling system,$439,Medium
BMW,X5,2021,Engine Oil Leak,Oil spots under the car,Replace gaskets,$229,Medium
Honda,Civic,2013,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Replace water pump,$456,Medium
Chevrolet,Camaro,2022,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath, Car swaying",Replace shock absorbers,$518,Hard
BMW,X5,2012,Suspension Issues,"Car swaying, Car vibration over bumps",Inspect suspension system,$536,Hard
Kia,Sportage,2014,Electrical System Issues,Failure to turn on lights,Inspect electrical wiring,$127,Medium
Kia,Sportage,2016,Dead Battery,"Weak sound when starting, Car won't start, Dim lights",Replace the battery,$179,Easy
Chevrolet,Camaro,2023,Brake Issues,Steering wheel vibration,Inspect brake system,$293,Medium
Nissan,Patrol,2018,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$249,Easy
Kia,Sportage,2011,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Inspect exhaust system,$1047,Hard
BMW,X5,2017,Suspension Issues,Car vibration over bumps,Replace shock absorbers,$687,Hard
Honda,Civic,2023,Tire Issues,Low tire pressure,Replace tires,$85,Easy
Chevrolet,Camaro,2010,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$101,Easy
Ford,F-150,2006,Electrical System Issues,Failure to turn on lights,Replace fuses,$145,Medium
Ford,F-150,2013,Dead Battery,"Weak sound when starting, Dim lights, Car won't start",Replace the battery,$75,Easy
Ford,F-150,2018,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Inspect cooling system,$345,Medium
BMW,X5,2013,Suspension Issues,Car vibration over bumps,Replace shock absorbers,$998,Hard
BMW,X5,2015,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Inspect cooling system,$787,Medium
Kia,Sportage,2023,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$184,Medium
Hyundai,Sonata,2018,Brake Issues,"Steering wheel vibration, Increased stopping distance, Squeaking when braking",Inspect brake system,$168,Medium
Kia,Sportage,2010,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration",Replace spark plugs,$176,Easy
Mercedes,C-Class,2011,Cooling System Issues,"Coolant leakage, Burning smell, Engine overheating",Replace water pump,$396,Medium
Audi,A4,2010,Dead Battery,"Dim lights, Car won't start",Replace the battery,$71,Easy
BMW,X5,2015,Tire Issues,Low tire pressure,Balance tires,$207,Easy
Toyota,Corolla,2017,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption, Engine vibration",Replace spark plugs,$175,Easy
Kia,Sportage,2013,Exhaust System Issues,Strong fuel smell,Replace catalytic converter,$636,Hard
Audi,A4,2013,Brake Issues,Squeaking when braking,Inspect brake system,$251,Medium
BMW,X5,2020,Engine Oil Leak,Oil spots under the car,Replace gaskets,$401,Medium
Kia,Sportage,2011,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption, Engine vibration",Replace spark plugs,$202,Easy
Mercedes,C-Class,2016,Electrical System Issues,Failure to turn on lights,Inspect electrical wiring,$389,Medium
Honda,Civic,2021,Tire Issues,Car vibration,Balance tires,$173,Easy
Mercedes,C-Class,2020,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$145,Easy
Kia,Sportage,2012,Tire Issues,"Low tire pressure, Uneven tire wear, Car vibration",Replace tires,$251,Easy
Chevrolet,Camaro,2018,Tire Issues,Low tire pressure,Replace tires,$221,Easy
Chevrolet,Camaro,2011,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption",Replace spark plugs,$121,Easy
Audi,A4,2018,Exhaust System Issues,"Strong fuel smell, Black smoke emission",Replace catalytic converter,$551,Hard
Chevrolet,Camaro,2020,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps",Replace shock absorbers,$629,Hard
Kia,Sportage,2010,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Replace fuses,$333,Medium
Hyundai,Sonata,2011,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Replace fuses,$445,Medium
Chevrolet,Camaro,2019,Electrical System Issues,Warning light on dashboard,Replace fuses,$396,Medium
BMW,X5,2011,Cooling System Issues,"Coolant leakage, Engine overheating",Replace water pump,$686,Medium
BMW,X5,2018,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell, Black smoke emission",Replace catalytic converter,$1196,Hard
Kia,Sportage,2021,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Inspect cooling system,$691,Medium
BMW,X5,2018,Engine Oil Leak,"Oil spots under the car, Low oil level, Burning smell",Replace gaskets,$265,Medium
Audi,A4,2016,Engine Oil Leak,"Burning smell, Low oil level",Replace gaskets,$407,Medium
Ford,F-150,2012,Dead Battery,Car won't start,Charge the battery,$80,Easy
Nissan,Patrol,2016,Engine Oil Leak,"Low oil level, Burning smell, Oil spots under the car",Fix the leak,$233,Medium
Hyundai,Sonata,2016,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps",Replace shock absorbers,$483,Hard
Hyundai,Sonata,2013,Engine Oil Leak,Oil spots under the car,Fix the leak,$217,Medium
Toyota,Corolla,2023,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$284,Easy
BMW,X5,2016,Faulty Spark Plugs,"Engine vibration, Poor acceleration, Increased fuel consumption",Replace spark plugs,$152,Easy
Honda,Civic,2016,Brake Issues,Squeaking when braking,Replace brake pads,$176,Medium
Hyundai,Sonata,2012,Brake Issues,"Steering wheel vibration, Squeaking when braking, Increased stopping distance",Inspect brake system,$243,Medium
BMW,X5,2019,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$322,Medium
Kia,Sportage,2013,Brake Issues,Increased stopping distance,Inspect brake system,$267,Medium
Hyundai,Sonata,2018,Tire Issues,Car vibration,Replace tires,$247,Easy
Mercedes,C-Class,2023,Electrical System Issues,Weak battery charging,Inspect electrical wiring,$494,Medium
BMW,X5,2014,Engine Oil Leak,Low oil level,Replace gaskets,$207,Medium
Audi,A4,2018,Suspension Issues,"Car vibration over bumps, Car swaying, Squeaking noise from underneath",Replace shock absorbers,$468,Hard
Toyota,Corolla,2021,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard",Inspect electrical wiring,$221,Medium
Nissan,Patrol,2010,Exhaust System Issues,Black smoke emission,Inspect exhaust system,$513,Hard
BMW,X5,2020,Engine Oil Leak,Burning smell,Fix the leak,$589,Medium
Mercedes,C-Class,2018,Engine Oil Leak,Oil spots under the car,Fix the leak,$281,Medium
Hyundai,Sonata,2022,Tire Issues,"Uneven tire wear, Car vibration",Balance tires,$156,Easy
Ford,F-150,2017,Exhaust System Issues,Black smoke emission,Inspect exhaust system,$1162,Hard
Audi,A4,2015,Brake Issues,"Steering wheel vibration, Increased stopping distance, Squeaking when braking",Replace brake pads,$166,Medium
Chevrolet,Camaro,2012,Brake Issues,"Steering wheel vibration, Increased stopping distance",Inspect brake system,$308,Medium
Ford,F-150,2019,Engine Oil Leak,"Burning smell, Low oil level, Oil spots under the car",Fix the leak,$207,Medium
Ford,F-150,2015,Cooling System Issues,"Coolant leakage, Burning smell",Inspect cooling system,$688,Medium
BMW,X5,2015,Engine Oil Leak,"Burning smell, Low oil level",Fix the leak,$468,Medium
BMW,X5,2011,Tire Issues,Uneven tire wear,Balance tires,$55,Easy
Audi,A4,2010,Brake Issues,"Steering wheel vibration, Squeaking when braking, Increased stopping distance",Inspect brake system,$249,Medium
Chevrolet,Camaro,2010,Engine Oil Leak,Burning smell,Fix the leak,$288,Medium
Mercedes,C-Class,2017,Cooling System Issues,Coolant leakage,Inspect cooling system,$495,Medium
Hyundai,Sonata,2018,Electrical System Issues,Weak battery charging,Replace fuses,$380,Medium
BMW,X5,2016,Brake Issues,"Steering wheel vibration, Increased stopping distance",Inspect brake system,$294,Medium
Honda,Civic,2015,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$289,Easy
